Artist,Classification,Continent,Country,Credit Line,Dated,Department,Dimension,Inscription,Medium,Nationality,Provenance,Rights Type,Room,Short Description,Signed,Style,Text,Title,Years Living
Artist: Wang Rusheng, Paintings,Asia,China,Gift of Ruth and Bruce Dayton,1734,"Chinese, South and Southeast Asian Art",H.37-1/4 x W.18-15/16 in. (image),Inscription; Stamps,Ink and colors on paper,China,N/A,Public Domain,Not on View,"seven figures in LLQ blowing horns, playing gongs, cymbals and drums and lighting firecrackers; 3 figures inside a building at R; bare trees and grey sky; wood rollers",N/A,18th century,"The bare trees and wintry sky in this precisely rendered scene indicate that the season is winter and the temperature cool. Children have gathered within the courtyard of a large household to greet the New Year morning with drums, harps, cymbals, and fire crackers. Attractive, easily understood, paintings like this were displayed throughout the New Year holiday season in China lending a festive air to celebratory activities.

The figurative style of Wang Rusheng is rooted in late Ming Suzhou artists like Li Shita (1549-1621). The legends of the seals that Wang used in this painting suggest that, in spite of his assured professional technique, he still saw himself as a literati. His seals read: Ru Sheng(""bound to advance""); Xue Geng (""plowing through study"") and Jin Ren Ai Gu Ren (""not adhering to my contemporaries but loving the ancients"").
",Greeting the New Year,China
N/A, Ceramics,Asia,China,Gift of Ruth and Bruce Dayton,12th-13th century,"Chinese, South and Southeast Asian Art",17 1/2 x 6 7/8 x 7 3/8 in. (44.45 x 17.46 x 18.73 cm),N/A,"Cizhou ware
Slip coated stoneware with overglaze enamels on a clear glaze
",N/A,N/A,Public Domain,G217,"male figure seated on a chair placed on a small podium; man has PL hand on thigh and PR hand on belt; glazed in green, blue, brown and yellow; dragon on front of man's garment",N/A,12th-13th century,"Wenchang is the combination of two deified personages. The first is a local deity called Zitong who was worshiped in Sichuan during the Tang dynasty. The second is the deity of the constellation Ursa Major known by the Chinese as Kui. The reason why and how they became to be merged remains unclear, however, after the Tang dynasty the two became a single deity under the name of Wenchang and was venerated as the Deity of Literature. Wenchang is represented as a handsome man in the sitting posture. Sometimes he is also shown standing upon a fish, because the carp of the Yellow River is believed to make an ascent of the stream in the spring of each year, and those who succeed in passing the rapids of Longmen in Henan, become changed into dragons. This supposed transformation of fish to dragon has become an example and synonym for the literary success of the industrious student.
The relatively large size and unusual palette of green, blue, and aubergine enamels distinguish this Cizhou ceramic. It is a fine example of early, overglaze enamel decoration.","Figure of Wenchang, Deity of Literature",N/A
N/A," Tools, Equipment and Utilitarian Objects",Africa,Egypt,Gift of Ruth and Bruce Dayton,c. 1600 BCE,Art of Africa and the Americas,23 1/2 x 6 7/8  in. (59.69 x 17.46  cm),N/A,Alabaster,N/A,N/A,Public Domain,Not on View,"tall, conical shaped vessel with slightly inward-turning shoulder and outward-flaring lip rim; white alabaster; black metal mount",N/A,17th-16th century BCE,N/A,Wine Jar,N/A
Artist: Attributed to Meads and Alvord, Furniture,North America,United States,Gift of the Decorative Arts Council,c. 1832-1834,"Decorative Arts, Textiles and Sculpture",84 13/16 x 51 x 25 in. (215.42 x 129.54 x 63.5 cm),N/A,"Mahogany, pine, tulip, brass, glass",N/A,N/A,Public Domain,G332,desk with drawer with felt-covered writing surface with storage below; double doors on bottom of desk; hutch with glass doors and tilt-up panel below with drawers and compartments; pairs of metal-capitaled columns on hutch and desk,N/A,19th century,"The business partnership of John Meads (1777-1859) and William Alvord (1766-1853) resulted in some of the most artistically sophisticated furniture made in nineteenth-century America. Meads & Alvord was the premier Neoclassical furniture firm in Albany, and they used their status and shop location to serve a wide clientele throughout the Hudson River Valley and further west along the Erie Canal (completed in 1825). As demonstrated in this desk and bookcase, when designing furniture, Meads & Alvord adopted popular Grecian and Gothic Revival designs that were characteristic of larger American style centers. The overall form of this desk and bookcase was often seen in New York City furniture, while the decoration, such as the carved melon feet, was popular in Boston cabinetwork.",Desk and bookcase,"Albany, New York"
Artist: Tina Blondell, Drawings,North America,United States,Gift of Shelley Holzemer Gallery,1999,Prints and Drawings,22 1/2 x 14 7/8 in. (57.15 x 37.78 cm) (sight),"Signature; Mark; Inscription

in graphite, LL: [I\'ll make you shorter by a head (after Klimt\'s Judith I)]",Watercolor and acrylic,American,"The artist
Shelly Holzemer Gallery, Minneapolis",Non-Commercial Use,Not on View,N/A,"in graphite, LL: [Tina Blondell (copyright symbol) 1999]",20th century,N/A,I'll Make You Shorter by a Head (Judith I),"American, born 1953"
Artist: Krassimira Drenska; Publisher: Krassimira Drenska, Books,Europe,Switzerland,Gift of Krassimira Drenska,1985,Prints and Drawings,8 1/2 x 8 3/8 x 1/4 in. (21.59 x 21.27 x 0.64 cm),"Signature
see Signed","Screenprints, letterpress",Swiss,Dadi Wirz,Need Permission,Not on View,N/A,"in graphite, on colophon page: [K. Drenska]",20th century,N/A,Emily Dickinson: Three Poems,"Swiss (b. Bulgaria), born 1947"
N/A, Textiles,Asia,Bangladesh,Gift of Alfred and Ingrid Lenz Harrison,1870,"Chinese, South and Southeast Asian Art",189 9/16 x 45 3/8 in. (481.53 x 115.24 cm),N/A,"Cotton, metallic thread; supplementary weft patterning",N/A,N/A,Public Domain,Not on View,gauzy woven off-white fabric with 2 rows of woven floral patterns in blue and gold metallic threads at long sides; gold brocade organic pattern overall; 2 rows of large blue and gold paisleys at one short side,N/A,19th century,N/A,Jamdani Sari,N/A
N/A, Adornment,Oceania,Solomon Islands,The Frances M. Norbeck Fund,early 19th century,Art of Africa and the Americas,2 x 13  in. (5.08 x 33.02  cm),Sticker,"Shells, thread",N/A,N/A,Public Domain,Not on View,8 teardrop shaped kapkaps strung on a cord with small cowrie shells; slightly larger central kapkap has incised sea-god figure; other kapkaps incised with tribal symbols,N/A,19th century,N/A,Kapkap Necklace,N/A
N/A, Sculpture,Oceania,Aotearoa (New Zealand),The Frances M. Norbeck Fund,early 19th century,Art of Africa and the Americas,12 1/2 x 1 13/16 x 1 3/4  in. (31.75 x 4.6 x 4.45  cm) (including attached mount),Sticker,"Wood, abalone",N/A,N/A,Public Domain,Not on View,"stakelike small staff, carved to slight point at bottom; standing figure, scowling with hands on stomach, covered in incised tattoos; abalone eyes; back decorated with triangles and linear design; attached to mount",N/A,19th century,N/A,Godstick (tiki wananga),N/A
N/A, Arms and Armor,Oceania,New Zealand,The Frances M. Norbeck Fund,early 19th century,Art of Africa and the Americas,15 5/16 x 4 3/8 x 1/2  in. (38.89 x 11.11 x 1.27  cm),N/A,Whale ivory,N/A,N/A,Public Domain,Not on View,paddle-shaped club with square hole at end of handle; curved lines carved into end of handle on one side,N/A,19th century,N/A,Patu Paraoa,N/A
N/A, Textiles,Europe,Italy,The Textile Miscellaneous Purchase Fund,18th century,Textiles,L.41-5/16 x W.20-9/16 in. (irregular),N/A,Silk and metallic threads; lampas weave,N/A,N/A,Public Domain,Not on View,"mustard yellow background; silver and green paisley, feather and foliate design on irregularly-shaped fragment",N/A,18th century,"Fabrics with this style of design are called ?bizarre silks.? Earlier in this century they were thought to have been made in India, but further research has shown them to be the product of an economic war between France and Italy from about 1690 to 1715.

During the 17th century, in an attempt to establish French economic dominance in Europe, Louis XIV?s minister of commerce, Colbert, began a campaign to encourage the manufacture of luxury goods. Various incentives, including tax advantages, induced skilled artisans to move to France. Until this time Italy had been the premier silk-producing country. Silk cloth was expensive and popular with the European nobility; dominance in the silk trade represented large sums of money. As the French appeared to be taking over in the 1690s, the Italians made a last attempt to regain the market, creating the unique designs that today are called ?bizarre.? This aesthetic style with its large, asymmetrical, undulating patterns proved very popular and designers throughout Europe soon adapted the style.

These designs were popular for over twenty years but by the end of the second decade of the 18th century symmetrical patterning was once again preferred. One hundred and fifty years later this aesthetic provided inspiration for the Art Nouveau movement.",Panel from a Chasuble,N/A
N/A, Textiles,North America,United States,Gift of Evelyn Marie Larson,c. 1850,Textiles,L.78-7/8 x W.78-7/8 in.,N/A,Cotton; hand appliqu?d and pieced; quilted,N/A,N/A,Public Domain,Not on View,16 blocks of hand appliqued red flowers with printed centers and green leaves; borders are scrolling foliage with appliqued and embroidered birds and flowers; white backing,N/A,19th century,"Quilts such as this Rose of Sharon pattern with a fruit and bird border were often made to celebrate special occasions such as a wedding and were given as a gift or were part of a dowry. In general, they did not serve as an everyday bed cover but were displayed on holidays and for other celebrations.

It is possible that this quilt was made in upstate New York as that is where the donor's grandfather served as a Presbyterian minister.",Rose of Sharon quilt,N/A
N/A, Arms and Armor,Africa,Nigeria,The Frances M. Norbeck Fund,20th century,Art of Africa and the Americas,61 x 12 x 5 9/16 in. (154.94 x 30.48 x 14.13 cm),Stickers,"Animal hide, beads, cloth",N/A,N/A,Public Domain,Not on View,"tall, flat shaft decorated with beading throughout; multicolored triangles and diamonds on back; geometric designs in rectangles on front; 4 pairs of earlike protrusions on sides with lines of beads; 2 small pocketlike protrusions at top corners; removable head with beaded face with large round eyes; 2 three-dimensional beaded zebras flank a small bowl on front; attached to mount.
Arms and Armor-Accessory",N/A,20th century,N/A,Sheath,N/A
Artist: Archie Blackowl, Drawings,North America,United States,The Frances M. Norbeck Fund,20th century,Prints and Drawings,13 1/16 x 21 9/16 in. (33.18 x 54.77 cm) (sheet),"Signature; Inscription; Stamp
see Signed
verso, in graphite: [No 15 Prayer for the Mother/ by Archie Blackowl/[Flying Hawk]\']",Gouache on paper,N/A,"Oscar Brousse Jacobson
Sotheby's, New York",Need Permission,Not on View,Drawings - Watercolor,"in black ink, LR; Stamp: [Archie Blackowl]",20th century,"There is a long history of graphic art inspired by the ceremonies of the Native American Church (NAC).  The first NAC artist to work in this genre was a Gaigwa (Kiowa) artist named Silverhorn, born in 1861.  Archie Blackowl was another active member of the NAC, and many of his paintings were influenced by his experiences in the church's ceremonies.  Blackowl's paintings are unique because he was able to capture the emotion of worshippers by focusing on their facial expressions and body language.

In ""Prayer for the Mother,"" Blackowl paints the ceremonial setting in great detail, incorporating all of its essential elements.  The Roadman is the figure on the left who is holding the gourd rattle, feather fan, and staff.  Between the praying figures are the bucket of water, the water drum, the ceremonial fire, and the sacrament that sits on top of the earthen, crescent-shaped altar, which is painted in profile.  The Roadman's upward gaze and the pointed shape of the ceremonial fire directs the viewer to the focal point of the painting, the Waterbird, which doubles as a Crucifix and symbolizes the integration of Christianity and American Indian spirituality.
",Prayer for the Mother,"Tsistsistas (Cheyenne), 1911 - 1992"
